artist_id,name,bio,country,formed_year,monthly_listeners,verified,created_at
1,The Midnight Echoes,Biography of The Midnight Echoes. A talented musical act known for their unique sound.,Portugal,1979,22372547,True,2024-12-15 12:12:27
2,Luna Silver,Biography of Luna Silver. A talented musical act known for their unique sound.,New Zealand,1978,23477075,False,2025-07-31 06:59:07
3,Electric Dreams,Biography of Electric Dreams. A talented musical act known for their unique sound.,Singapore,2010,8654799,True,2022-08-19 20:05:54
4,Neon Pulse,Biography of Neon Pulse. A talented musical act known for their unique sound.,Belgium,2008,43185101,False,2021-02-01 00:59:36
5,Acoustic Hearts,Biography of Acoustic Hearts. A talented musical act known for their unique sound.,New Zealand,1971,43354991,False,2024-04-28 19:38:59
6,The Wild Cards,Biography of The Wild Cards. A talented musical act known for their unique sound.,Mexico,1962,24334517,False,2021-07-14 01:22:38
7,Crystal Voice,Biography of Crystal Voice. A talented musical act known for their unique sound.,Spain,2003,32634089,True,2021-12-04 20:16:25
8,Urban Legends,Biography of Urban Legends. A talented musical act known for their unique sound.,Germany,1979,5179461,False,2020-11-10 05:36:06
9,Stellar Waves,Biography of Stellar Waves. A talented musical act known for their unique sound.,Denmark,1964,44422319,False,2025-04-04 03:45:59
10,The Jazz Collective,Biography of The Jazz Collective. A talented musical act known for their unique sound.,Germany,2008,10352727,True,2021-07-15 20:51:08
11,Indie Spirit,Biography of Indie Spirit. A talented musical act known for their unique sound.,Singapore,1981,48398771,False,2020-05-15 17:56:37
12,Rock Revolution,Biography of Rock Revolution. A talented musical act known for their unique sound.,Netherlands,2006,45390947,True,2023-10-12 01:51:22
13,Soul Sisters,Biography of Soul Sisters. A talented musical act known for their unique sound.,Austria,1996,30128045,True,2024-07-17 02:45:27
14,The Beat Masters,Biography of The Beat Masters. A talented musical act known for their unique sound.,Italy,1999,31476104,True,2023-02-16 20:12:34
15,Harmony Junction,Biography of Harmony Junction. A talented musical act known for their unique sound.,New Zealand,2016,30983818,False,2023-04-01 10:28:21
16,Desert Storm,Biography of Desert Storm. A talented musical act known for their unique sound.,Denmark,2013,10876539,True,2025-02-21 14:58:28
17,Ocean Blue,Biography of Ocean Blue. A talented musical act known for their unique sound.,Germany,1992,3502727,False,2023-02-27 07:34:50
18,Mountain High,Biography of Mountain High. A talented musical act known for their unique sound.,Belgium,1973,47742311,True,2022-06-04 15:50:21
19,Valley Sound,Biography of Valley Sound. A talented musical act known for their unique sound.,Canada,1980,18307714,False,2024-05-13 22:21:16
20,River Flow,Biography of River Flow. A talented musical act known for their unique sound.,Germany,2015,6155793,True,2023-11-02 14:32:27
21,Phoenix Rising,Biography of Phoenix Rising. A talented musical act known for their unique sound.,Mexico,1963,27844260,True,2023-05-16 17:45:00
22,Dragon Fire,Biography of Dragon Fire. A talented musical act known for their unique sound.,Denmark,2007,15823798,False,2020-09-10 12:56:32
