playlist_id,user_id,name,description,is_public,created_at,updated_at
1,1,Party Playlist #1,A curated playlist by masonjoh1,True,2020-03-31 05:37:54,2020-03-31 05:37:54
2,1,My Favorites #2,A curated playlist by masonjoh1,True,2021-02-13 12:27:54,2021-02-13 12:27:54
3,2,Study Session #3,A curated playlist by carloswil2,True,2022-07-08 15:44:27,2022-07-08 15:44:27
4,2,New Discoveries #4,A curated playlist by carloswil2,False,2024-12-11 17:50:47,2024-12-11 17:50:47
5,2,Workout Mix #5,A curated playlist by carloswil2,True,2020-02-20 21:47:35,2020-02-20 21:47:35
6,2,Chill Vibes #6,A curated playlist by carloswil2,False,2021-05-21 13:27:41,2021-05-21 13:27:41
7,2,Road Trip #7,A curated playlist by carloswil2,True,2021-02-15 08:39:53,2021-02-15 08:39:53
8,3,Study Session #8,A curated playlist by elizabethriv3,False,2020-06-30 17:18:27,2020-06-30 17:18:27
9,3,Focus Time #9,A curated playlist by elizabethriv3,True,2023-07-08 23:17:32,2023-07-08 23:17:32
10,3,Focus Time #10,A curated playlist by elizabethriv3,False,2025-08-14 06:27:52,2025-08-14 06:27:52
11,4,Mood Boost #11,A curated playlist by henryhal349,True,2020-11-11 15:07:14,2020-11-11 15:07:14
12,4,Top Hits #12,A curated playlist by henryhal349,False,2025-06-18 05:23:20,2025-06-18 05:23:20
13,4,Morning Coffee #13,A curated playlist by henryhal349,True,2024-03-18 12:12:35,2024-03-18 12:12:35
14,4,Workout Mix #14,A curated playlist by henryhal349,False,2023-07-10 00:06:36,2023-07-10 00:06:36
15,5,Focus Time #15,A curated playlist by miahar368,True,2021-07-22 04:16:39,2021-07-22 04:16:39
16,5,Late Night #16,A curated playlist by miahar368,True,2020-06-04 11:43:59,2020-06-04 11:43:59
17,5,Running Mix #17,A curated playlist by miahar368,True,2025-06-10 20:20:43,2025-06-10 20:20:43
18,5,Mood Boost #18,A curated playlist by miahar368,True,2024-07-25 20:25:09,2024-07-25 20:25:09
19,5,New Discoveries #19,A curated playlist by miahar368,False,2021-04-23 17:29:49,2021-04-23 17:29:49
20,6,Chill Vibes #20,A curated playlist by kenjidav_fan,True,2025-05-07 23:50:46,2025-05-07 23:50:46
21,6,Mood Boost #21,A curated playlist by kenjidav_fan,True,2024-04-20 10:22:46,2024-04-20 10:22:46
22,6,Chill Vibes #22,A curated playlist by kenjidav_fan,True,2021-07-12 20:43:45,2021-07-12 20:43:45
23,6,My Favorites #23,A curated playlist by kenjidav_fan,False,2025-02-03 09:33:21,2025-02-03 09:33:21
24,7,Late Night #24,A curated playlist by jackriv7,False,2023-04-12 00:21:51,2023-04-12 00:21:51
25,7,Throwback #25,A curated playlist by jackriv7,True,2022-05-25 08:36:36,2022-05-25 08:36:36
26,7,Throwback #26,A curated playlist by jackriv7,False,2024-04-24 14:35:40,2024-04-24 14:35:40
27,8,Study Session #27,A curated playlist by lucashar465,True,2022-02-07 15:53:08,2022-02-07 15:53:08
28,8,Party Playlist #28,A curated playlist by lucashar465,True,2025-05-02 15:30:01,2025-05-02 15:30:01
29,9,New Discoveries #29,A curated playlist by nathanhal9,True,2020-08-25 02:01:18,2020-08-25 02:01:18
30,9,Chill Vibes #30,A curated playlist by nathanhal9,True,2020-11-05 20:23:03,2020-11-05 20:23:03
31,9,My Favorites #31,A curated playlist by nathanhal9,True,2020-09-24 01:05:45,2020-09-24 01:05:45
32,9,Study Session #32,A curated playlist by nathanhal9,False,2024-07-07 11:57:19,2024-07-07 11:57:19
33,9,Party Playlist #33,A curated playlist by nathanhal9,False,2020-05-10 09:02:07,2020-05-10 09:02:07
34,10,Running Mix #34,A curated playlist by natashahar_fan,True,2025-11-08 15:50:37,2025-11-08 15:50:37
35,10,My Favorites #35,A curated playlist by natashahar_fan,False,2025-03-23 05:22:52,2025-03-23 05:22:52
36,10,Study Session #36,A curated playlist by natashahar_fan,True,2020-08-17 16:54:43,2020-08-17 16:54:43
37,11,Throwback #37,A curated playlist by averysin825,True,2022-06-24 04:29:04,2022-06-24 04:29:04
38,11,Focus Time #38,A curated playlist by averysin825,True,2025-05-09 02:28:54,2025-05-09 02:28:54
39,11,Chill Vibes #39,A curated playlist by averysin825,True,2025-02-01 17:48:53,2025-02-01 17:48:53
40,11,Relaxation #40,A curated playlist by averysin825,False,2020-11-17 18:39:53,2020-11-17 18:39:53
41,12,Throwback #41,A curated playlist by lukewil_music,True,2022-02-21 08:59:48,2022-02-21 08:59:48
42,12,Relaxation #42,A curated playlist by lukewil_music,True,2021-07-07 15:45:49,2021-07-07 15:45:49
43,12,Study Session #43,A curated playlist by lukewil_music,True,2020-12-05 20:51:23,2020-12-05 20:51:23
44,12,Chill Vibes #44,A curated playlist by lukewil_music,True,2021-06-20 10:43:23,2021-06-20 10:43:23
45,12,Late Night #45,A curated playlist by lukewil_music,False,2024-03-09 07:19:40,2024-03-09 07:19:40
46,13,Party Playlist #46,A curated playlist by kenjitay_fan,False,2022-02-15 00:27:00,2022-02-15 00:27:00
47,13,Chill Vibes #47,A curated playlist by kenjitay_fan,True,2023-11-12 18:46:52,2023-11-12 18:46:52
48,13,Morning Coffee #48,A curated playlist by kenjitay_fan,True,2020-03-07 16:28:22,2020-03-07 16:28:22
49,14,Workout Mix #49,A curated playlist by luciayou,True,2021-03-24 10:55:00,2021-03-24 10:55:00
50,14,Late Night #50,A curated playlist by luciayou,False,2021-07-01 06:30:53,2021-07-01 06:30:53
51,15,New Discoveries #51,A curated playlist by carloshil_music,True,2025-10-29 12:41:59,2025-10-29 12:41:59
52,15,Focus Time #52,A curated playlist by carloshil_music,False,2025-01-10 11:48:16,2025-01-10 11:48:16
53,15,Mood Boost #53,A curated playlist by carloshil_music,True,2023-04-03 09:16:39,2023-04-03 09:16:39
54,16,Throwback #54,A curated playlist by emmabak_fan,False,2020-01-05 16:25:26,2020-01-05 16:25:26
55,16,Party Playlist #55,A curated playlist by emmabak_fan,True,2021-08-30 09:41:12,2021-08-30 09:41:12
56,17,Study Session #56,A curated playlist by masonjac_music,True,2022-07-27 09:52:40,2022-07-27 09:52:40
57,17,Running Mix #57,A curated playlist by masonjac_music,False,2022-08-04 18:33:31,2022-08-04 18:33:31
58,17,Running Mix #58,A curated playlist by masonjac_music,False,2024-03-30 15:16:35,2024-03-30 15:16:35
59,18,My Favorites #59,A curated playlist by giovannimue892,True,2022-10-24 02:50:50,2022-10-24 02:50:50
60,18,My Favorites #60,A curated playlist by giovannimue892,True,2023-12-14 12:56:46,2023-12-14 12:56:46
61,18,Mood Boost #61,A curated playlist by giovannimue892,True,2020-02-02 01:50:33,2020-02-02 01:50:33
62,18,Top Hits #62,A curated playlist by giovannimue892,True,2025-03-22 03:56:54,2025-03-22 03:56:54
63,18,Top Hits #63,A curated playlist by giovannimue892,True,2024-04-25 16:57:41,2024-04-25 16:57:41
64,19,New Discoveries #64,A curated playlist by evelynwhi_fan,True,2025-03-16 15:48:05,2025-03-16 15:48:05
65,20,Study Session #65,A curated playlist by liamdav900,True,2025-10-19 11:59:13,2025-10-19 11:59:13
66,20,Relaxation #66,A curated playlist by liamdav900,False,2022-03-10 15:32:36,2022-03-10 15:32:36
67,21,Late Night #67,A curated playlist by elijahcam,False,2023-05-19 05:55:24,2023-05-19 05:55:24
68,21,Party Playlist #68,A curated playlist by elijahcam,True,2025-08-06 03:00:44,2025-08-06 03:00:44
69,22,Late Night #69,A curated playlist by pierresco_fan,True,2022-09-10 10:22:00,2022-09-10 10:22:00
70,22,Chill Vibes #70,A curated playlist by pierresco_fan,True,2022-04-12 16:05:04,2022-04-12 16:05:04
71,22,Study Session #71,A curated playlist by pierresco_fan,True,2024-03-27 06:10:40,2024-03-27 06:10:40
72,22,Chill Vibes #72,A curated playlist by pierresco_fan,True,2021-06-13 17:07:47,2021-06-13 17:07:47
73,22,Chill Vibes #73,A curated playlist by pierresco_fan,True,2024-10-28 08:23:06,2024-10-28 08:23:06
74,23,Focus Time #74,A curated playlist by victoriasan_fan,True,2020-09-07 06:29:50,2020-09-07 06:29:50
75,23,Running Mix #75,A curated playlist by victoriasan_fan,True,2022-12-21 04:55:34,2022-12-21 04:55:34
76,23,New Discoveries #76,A curated playlist by victoriasan_fan,False,2021-03-16 10:22:59,2021-03-16 10:22:59
77,23,My Favorites #77,A curated playlist by victoriasan_fan,False,2021-02-19 18:26:02,2021-02-19 18:26:02
78,24,Throwback #78,A curated playlist by oliverper_fan,True,2024-11-14 07:57:05,2024-11-14 07:57:05
79,24,Relaxation #79,A curated playlist by oliverper_fan,True,2021-04-13 20:37:06,2021-04-13 20:37:06
80,24,Workout Mix #80,A curated playlist by oliverper_fan,True,2020-12-29 14:03:44,2020-12-29 14:03:44
81,25,My Favorites #81,A curated playlist by isabellariv,True,2021-11-09 10:34:18,2021-11-09 10:34:18
82,25,Morning Coffee #82,A curated playlist by isabellariv,True,2025-01-11 10:54:12,2025-01-11 10:54:12
83,25,Throwback #83,A curated playlist by isabellariv,False,2025-08-27 14:06:09,2025-08-27 14:06:09
84,25,Party Playlist #84,A curated playlist by isabellariv,True,2023-06-03 15:56:07,2023-06-03 15:56:07
85,26,Top Hits #85,A curated playlist by gracenel_fan,False,2023-12-10 08:05:24,2023-12-10 08:05:24
86,26,Top Hits #86,A curated playlist by gracenel_fan,True,2021-04-23 23:41:52,2021-04-23 23:41:52
87,27,Throwback #87,A curated playlist by ellapat_music,True,2025-04-17 19:13:18,2025-04-17 19:13:18
88,27,New Discoveries #88,A curated playlist by ellapat_music,True,2025-08-25 05:24:59,2025-08-25 05:24:59
89,28,Late Night #89,A curated playlist by lilyram,True,2023-09-02 12:19:17,2023-09-02 12:19:17
90,29,Road Trip #90,A curated playlist by sophiasan,False,2025-08-22 15:09:23,2025-08-22 15:09:23
91,29,My Favorites #91,A curated playlist by sophiasan,False,2024-05-17 02:21:38,2024-05-17 02:21:38
92,29,Running Mix #92,A curated playlist by sophiasan,True,2025-09-08 23:04:16,2025-09-08 23:04:16
93,30,Party Playlist #93,A curated playlist by harperram_music,False,2021-08-27 09:20:21,2021-08-27 09:20:21
94,31,Top Hits #94,A curated playlist by williamada,False,2021-11-23 22:43:01,2021-11-23 22:43:01
95,32,Road Trip #95,A curated playlist by weiyou_music,False,2020-05-15 11:45:07,2020-05-15 11:45:07
96,33,Throwback #96,A curated playlist by zoeytay_music,True,2021-11-28 08:10:12,2021-11-28 08:10:12
97,33,Mood Boost #97,A curated playlist by zoeytay_music,False,2020-07-18 13:30:37,2020-07-18 13:30:37
98,33,Chill Vibes #98,A curated playlist by zoeytay_music,True,2020-09-17 01:43:04,2020-09-17 01:43:04
99,33,Mood Boost #99,A curated playlist by zoeytay_music,True,2020-10-20 04:04:54,2020-10-20 04:04:54
100,33,Morning Coffee #100,A curated playlist by zoeytay_music,False,2020-08-24 23:03:42,2020-08-24 23:03:42
101,34,Top Hits #101,A curated playlist by evelyngon,True,2024-05-07 17:53:57,2024-05-07 17:53:57
102,34,Running Mix #102,A curated playlist by evelyngon,True,2023-03-03 06:49:43,2023-03-03 06:49:43
103,34,Running Mix #103,A curated playlist by evelyngon,True,2023-09-14 20:46:33,2023-09-14 20:46:33
104,35,Late Night #104,A curated playlist by lukebro_music,True,2024-03-31 21:40:58,2024-03-31 21:40:58
105,35,Workout Mix #105,A curated playlist by lukebro_music,False,2020-01-27 05:02:28,2020-01-27 05:02:28
106,35,Running Mix #106,A curated playlist by lukebro_music,True,2020-12-06 22:27:18,2020-12-06 22:27:18
107,35,Running Mix #107,A curated playlist by lukebro_music,False,2022-03-25 10:51:51,2022-03-25 10:51:51
108,35,Late Night #108,A curated playlist by lukebro_music,True,2020-06-30 17:09:16,2020-06-30 17:09:16
109,36,Mood Boost #109,A curated playlist by luciagar_fan,False,2021-02-18 23:20:39,2021-02-18 23:20:39
110,36,My Favorites #110,A curated playlist by luciagar_fan,True,2020-01-03 23:34:56,2020-01-03 23:34:56
111,36,Relaxation #111,A curated playlist by luciagar_fan,False,2021-07-05 23:23:28,2021-07-05 23:23:28
112,37,Top Hits #112,A curated playlist by ameliatan_fan,False,2023-10-06 00:06:54,2023-10-06 00:06:54
113,37,Party Playlist #113,A curated playlist by ameliatan_fan,True,2024-02-01 16:19:04,2024-02-01 16:19:04
114,37,Morning Coffee #114,A curated playlist by ameliatan_fan,False,2024-06-06 00:14:38,2024-06-06 00:14:38
115,37,Top Hits #115,A curated playlist by ameliatan_fan,True,2023-04-19 14:15:32,2023-04-19 14:15:32
116,38,Throwback #116,A curated playlist by yukinel_fan,True,2023-05-25 13:39:06,2023-05-25 13:39:06
117,38,Relaxation #117,A curated playlist by yukinel_fan,True,2021-01-03 22:47:15,2021-01-03 22:47:15
118,38,Party Playlist #118,A curated playlist by yukinel_fan,True,2021-02-05 17:23:40,2021-02-05 17:23:40
119,39,Relaxation #119,A curated playlist by samueltay135,True,2020-12-13 07:53:40,2020-12-13 07:53:40
120,39,New Discoveries #120,A curated playlist by samueltay135,True,2023-09-16 23:22:05,2023-09-16 23:22:05
121,40,Party Playlist #121,A curated playlist by ivanflo,True,2020-08-21 08:08:20,2020-08-21 08:08:20
122,40,Road Trip #122,A curated playlist by ivanflo,False,2020-02-23 03:38:47,2020-02-23 03:38:47
123,41,Road Trip #123,A curated playlist by ethansch,True,2020-05-21 06:38:53,2020-05-21 06:38:53
124,42,Running Mix #124,A curated playlist by ahmedche721,True,2022-02-24 20:14:55,2022-02-24 20:14:55
125,42,Road Trip #125,A curated playlist by ahmedche721,False,2020-12-16 08:35:02,2020-12-16 08:35:02
126,42,Running Mix #126,A curated playlist by ahmedche721,False,2024-02-17 16:46:39,2024-02-17 16:46:39
127,42,Mood Boost #127,A curated playlist by ahmedche721,True,2025-12-14 21:06:45,2025-12-14 21:06:45
128,42,Study Session #128,A curated playlist by ahmedche721,False,2020-10-06 18:26:09,2020-10-06 18:26:09
129,43,Mood Boost #129,A curated playlist by dylansch43,True,2021-04-21 16:08:26,2021-04-21 16:08:26
130,43,Relaxation #130,A curated playlist by dylansch43,False,2025-01-01 05:57:57,2025-01-01 05:57:57
131,43,Road Trip #131,A curated playlist by dylansch43,False,2025-03-19 10:04:36,2025-03-19 10:04:36
132,43,Running Mix #132,A curated playlist by dylansch43,True,2025-11-15 18:56:47,2025-11-15 18:56:47
133,44,Throwback #133,A curated playlist by nathanjac216,True,2024-05-14 23:17:55,2024-05-14 23:17:55
134,44,Throwback #134,A curated playlist by nathanjac216,False,2020-12-10 12:49:51,2020-12-10 12:49:51
135,45,Party Playlist #135,A curated playlist by giovanniyou,True,2020-06-26 03:12:06,2020-06-26 03:12:06
136,46,My Favorites #136,A curated playlist by avasmi46,False,2023-06-27 06:29:38,2023-06-27 06:29:38
137,46,Throwback #137,A curated playlist by avasmi46,True,2025-11-08 03:04:59,2025-11-08 03:04:59
138,46,My Favorites #138,A curated playlist by avasmi46,True,2020-01-07 14:53:43,2020-01-07 14:53:43
139,46,Focus Time #139,A curated playlist by avasmi46,True,2022-12-16 16:29:47,2022-12-16 16:29:47
140,47,Morning Coffee #140,A curated playlist by carlossco,True,2024-08-02 08:45:02,2024-08-02 08:45:02
141,47,Late Night #141,A curated playlist by carlossco,True,2024-08-17 01:28:45,2024-08-17 01:28:45
142,48,Morning Coffee #142,A curated playlist by aubreyngu_music,False,2020-01-12 22:59:26,2020-01-12 22:59:26
143,49,New Discoveries #143,A curated playlist by avayam49,True,2022-10-11 19:51:14,2022-10-11 19:51:14
144,50,Focus Time #144,A curated playlist by evelynsch50,False,2022-01-28 22:13:29,2022-01-28 22:13:29
145,50,Running Mix #145,A curated playlist by evelynsch50,False,2021-12-30 22:38:35,2021-12-30 22:38:35
146,50,Focus Time #146,A curated playlist by evelynsch50,True,2020-01-06 22:29:39,2020-01-06 22:29:39
147,51,Chill Vibes #147,A curated playlist by sebastianmit_music,True,2025-11-10 23:56:59,2025-11-10 23:56:59
148,51,Chill Vibes #148,A curated playlist by sebastianmit_music,False,2025-03-28 16:08:49,2025-03-28 16:08:49
149,51,New Discoveries #149,A curated playlist by sebastianmit_music,False,2024-10-20 00:17:22,2024-10-20 00:17:22
150,51,My Favorites #150,A curated playlist by sebastianmit_music,True,2020-07-13 00:26:35,2020-07-13 00:26:35
151,51,Running Mix #151,A curated playlist by sebastianmit_music,False,2023-05-21 21:03:09,2023-05-21 21:03:09
152,52,Mood Boost #152,A curated playlist by henrypat,True,2021-05-24 13:46:38,2021-05-24 13:46:38
153,52,Focus Time #153,A curated playlist by henrypat,True,2023-09-17 01:31:54,2023-09-17 01:31:54
154,52,Chill Vibes #154,A curated playlist by henrypat,False,2021-12-06 16:40:04,2021-12-06 16:40:04
155,52,Focus Time #155,A curated playlist by henrypat,False,2021-10-04 12:48:21,2021-10-04 12:48:21
156,53,Top Hits #156,A curated playlist by ivantho53,True,2023-04-12 06:51:43,2023-04-12 06:51:43
157,53,Mood Boost #157,A curated playlist by ivantho53,True,2021-10-28 09:32:43,2021-10-28 09:32:43
158,53,Focus Time #158,A curated playlist by ivantho53,False,2023-06-20 02:04:35,2023-06-20 02:04:35
159,53,Running Mix #159,A curated playlist by ivantho53,True,2020-09-15 19:25:53,2020-09-15 19:25:53
160,53,Workout Mix #160,A curated playlist by ivantho53,False,2025-05-26 21:00:45,2025-05-26 21:00:45
161,54,Chill Vibes #161,A curated playlist by priyaper,True,2023-06-04 11:51:49,2023-06-04 11:51:49
162,54,Workout Mix #162,A curated playlist by priyaper,True,2023-11-14 05:59:52,2023-11-14 05:59:52
163,54,Running Mix #163,A curated playlist by priyaper,True,2023-09-10 13:22:13,2023-09-10 13:22:13
164,54,My Favorites #164,A curated playlist by priyaper,True,2020-12-03 14:17:21,2020-12-03 14:17:21
165,54,Chill Vibes #165,A curated playlist by priyaper,False,2021-08-12 21:52:35,2021-08-12 21:52:35
