stream_id,user_id,song_id,streamed_at,duration_played,device_type
1,1,305,2025-12-07 20:05:02,194,smart_tv
2,1,1549,2024-04-19 18:07:47,271,smart_speaker
3,1,1507,2025-09-14 22:57:24,46,desktop
4,1,1910,2025-06-24 02:08:38,298,desktop
5,1,505,2023-09-28 14:39:12,224,tablet
6,1,547,2025-05-14 17:12:25,122,desktop
7,1,1529,2025-11-10 07:20:46,99,mobile
8,1,1634,2023-01-28 23:18:11,51,smart_speaker
9,1,2474,2023-05-13 23:23:44,187,smart_speaker
10,1,1072,2025-05-13 23:18:51,40,smart_speaker
11,1,1803,2023-01-05 07:00:53,119,mobile
12,1,1931,2023-01-02 19:47:42,293,web
13,1,1640,2025-01-24 19:37:22,43,tablet
14,1,699,2023-03-03 05:17:45,152,smart_tv
15,1,424,2023-03-27 03:37:02,271,tablet
16,1,239,2024-03-18 16:52:17,87,desktop
17,1,1740,2025-05-01 05:52:14,178,tablet
18,1,1814,2025-07-16 13:35:53,127,smart_tv
19,1,622,2025-10-03 19:32:31,263,tablet
20,1,1689,2023-05-10 07:19:07,115,mobile
21,1,1342,2023-04-15 15:52:16,76,mobile
22,1,2338,2023-01-01 18:46:56,56,web
23,1,1921,2023-03-21 05:16:44,84,smart_tv
24,1,2275,2024-07-16 12:50:12,44,web
25,1,724,2023-01-19 08:42:20,220,mobile
26,1,609,2024-06-24 14:57:40,200,tablet
27,1,2316,2025-01-05 15:25:24,50,web
28,1,2568,2023-12-23 17:43:52,390,web
29,1,2531,2023-09-30 19:46:53,38,mobile
30,1,49,2025-11-13 22:12:44,74,smart_speaker
31,1,1928,2024-07-20 04:35:23,349,smart_speaker
32,1,1939,2024-02-22 22:10:49,195,smart_tv
33,1,1368,2025-09-21 05:04:03,147,smart_speaker
34,1,1730,2024-05-14 02:36:02,334,web
35,1,1849,2024-04-25 09:00:28,95,desktop
36,2,620,2024-08-18 20:49:07,369,web
37,2,2522,2024-02-05 15:46:21,372,web
38,2,679,2023-03-29 05:39:35,174,mobile
39,2,1657,2024-03-17 12:14:43,58,tablet
40,2,866,2024-11-15 18:31:50,179,mobile
41,2,1501,2023-05-25 08:08:48,126,desktop
42,2,1879,2025-08-09 15:45:02,147,smart_tv
43,2,1736,2024-09-06 08:10:40,323,web
44,2,2491,2024-11-25 20:07:49,224,smart_speaker
45,2,472,2025-11-16 05:19:46,126,mobile
46,2,2172,2024-05-12 11:03:48,117,smart_tv
47,2,363,2024-12-12 04:12:38,107,smart_speaker
48,2,191,2024-07-18 03:57:44,296,tablet
49,2,2521,2024-08-30 08:59:43,294,smart_speaker
50,2,323,2024-03-03 05:57:10,169,smart_speaker
51,2,2508,2023-02-24 03:40:44,95,mobile
52,2,867,2024-06-08 03:31:35,287,smart_tv
53,2,701,2024-03-16 00:00:25,53,web
54,2,1457,2024-11-21 01:18:05,95,tablet
55,2,1355,2023-02-11 15:31:08,319,smart_speaker
56,2,2366,2025-05-16 13:49:22,141,desktop
57,2,749,2024-02-06 11:13:54,221,desktop
58,2,1300,2023-08-14 19:18:23,86,web
59,2,2422,2023-06-19 18:15:56,79,mobile
60,2,371,2025-12-10 04:02:08,44,web
61,2,2123,2024-07-31 19:06:26,234,web
62,2,291,2025-04-09 21:37:02,158,smart_tv
63,2,1738,2025-03-05 20:45:38,194,smart_speaker
64,2,911,2023-09-15 18:52:19,69,desktop
65,2,1463,2025-06-15 03:27:30,240,mobile
66,2,2049,2025-10-31 14:35:40,137,mobile
67,2,1860,2025-12-14 18:50:54,80,web
68,2,1127,2025-12-12 19:37:20,302,mobile
69,2,164,2023-08-31 15:25:59,105,web
70,2,1715,2024-02-16 04:37:40,69,tablet
71,2,2524,2025-02-08 11:37:00,199,desktop
72,2,36,2024-06-04 07:42:34,199,tablet
73,2,2240,2023-09-12 17:04:20,177,smart_speaker
74,2,1984,2025-05-01 09:11:22,56,web
75,2,2498,2023-08-07 21:22:05,46,tablet
76,2,1928,2025-11-27 03:24:09,160,smart_speaker
77,2,2212,2024-03-11 00:40:47,144,tablet
78,2,1584,2023-01-08 15:25:33,105,desktop
79,2,2392,2024-01-21 02:37:41,263,mobile
80,2,1974,2025-04-30 17:37:22,159,web
81,2,1944,2023-10-07 23:45:00,50,tablet
82,2,1761,2023-05-02 23:32:11,147,desktop
83,2,2045,2024-06-05 21:05:15,167,mobile
84,2,1112,2024-06-18 14:21:40,103,smart_speaker
85,2,742,2024-10-20 09:16:37,144,smart_tv
86,2,2539,2025-02-21 01:51:54,162,web
87,2,2535,2024-12-07 19:28:52,180,smart_speaker
88,2,2150,2024-12-17 04:13:37,150,tablet
89,2,1201,2024-03-09 01:41:49,198,smart_speaker
90,3,1852,2024-04-03 03:04:41,47,desktop
91,3,1138,2023-01-07 15:14:57,89,smart_speaker
92,3,558,2025-06-21 22:22:15,139,smart_tv
93,3,14,2025-12-09 19:53:05,114,smart_speaker
94,3,1782,2023-10-10 17:16:03,146,tablet
95,3,263,2025-12-20 18:17:36,178,desktop
96,3,1029,2024-08-08 10:59:20,93,smart_speaker
97,3,2470,2023-02-12 06:39:44,58,desktop
98,3,1142,2025-03-31 04:44:21,176,tablet
99,3,1961,2025-07-27 08:20:55,61,smart_tv
100,3,1432,2024-09-24 10:39:59,90,mobile
101,3,1476,2024-09-28 06:36:13,313,smart_tv
102,3,558,2025-12-31 13:39:46,97,web
103,3,984,2023-04-07 11:20:51,133,smart_tv
104,3,116,2025-10-17 23:20:34,244,tablet
105,3,2513,2024-01-27 23:17:25,162,mobile
106,3,1295,2023-12-27 12:01:56,82,smart_tv
107,3,144,2023-07-23 23:57:07,96,smart_tv
108,3,2604,2024-04-10 06:30:26,60,desktop
109,3,217,2023-11-28 03:55:11,255,web
110,3,722,2025-10-07 14:55:44,281,mobile
111,3,2200,2024-10-04 21:41:01,111,web
112,3,664,2024-03-17 14:18:34,182,smart_tv
113,3,1443,2024-10-11 21:57:25,78,mobile
114,3,431,2023-07-22 00:55:55,350,mobile
115,3,859,2025-04-24 11:06:49,37,smart_tv
116,3,2231,2023-10-16 22:52:58,315,smart_tv
117,3,2211,2023-03-15 18:24:32,80,smart_tv
118,3,318,2024-05-10 11:18:57,106,tablet
119,3,2551,2025-03-04 06:40:31,199,smart_speaker
120,3,1644,2024-08-08 04:43:43,89,tablet
121,3,1774,2024-05-21 14:01:05,120,tablet
122,3,328,2025-03-23 06:34:41,37,desktop
123,3,2575,2025-05-05 21:50:56,204,smart_speaker
124,3,721,2024-06-09 23:29:44,101,mobile
125,3,702,2025-10-26 13:56:40,297,web
126,3,2214,2024-08-15 05:07:31,140,smart_speaker
127,3,170,2024-05-06 01:01:04,243,smart_speaker
128,3,1117,2024-08-29 00:28:37,331,web
129,3,2482,2025-03-28 01:39:45,109,desktop
130,3,2199,2025-02-18 01:19:55,110,web
131,3,2182,2024-03-21 03:40:27,87,mobile
132,3,1345,2023-08-28 09:50:22,41,desktop
133,4,903,2025-11-13 19:37:19,72,smart_speaker
134,4,2214,2025-05-12 22:05:12,251,smart_tv
135,4,374,2023-09-18 08:05:48,137,web
136,4,653,2023-01-27 01:15:09,83,smart_tv
137,4,1564,2025-03-23 09:08:56,141,tablet
138,4,520,2024-11-18 10:06:58,267,web
139,4,1969,2025-04-26 20:17:40,129,desktop
140,4,1751,2025-04-21 07:30:41,203,desktop
141,4,1931,2023-08-12 17:38:47,300,smart_tv
142,4,1552,2023-02-15 03:26:40,154,desktop
143,4,26,2025-02-24 18:17:52,277,smart_tv
144,4,2299,2023-12-18 20:24:31,98,smart_tv
145,4,328,2023-01-12 06:25:02,134,desktop
146,4,2200,2023-12-20 11:54:07,58,tablet
147,4,2613,2025-09-10 18:57:41,207,web
148,4,1509,2025-01-16 04:19:23,154,tablet
149,4,1742,2023-09-27 11:57:43,128,web
150,4,529,2024-12-04 13:56:12,93,web
151,4,150,2023-03-28 21:23:44,95,tablet
152,4,873,2024-06-11 15:19:35,97,tablet
153,5,2393,2024-12-30 20:01:11,57,mobile
154,5,516,2024-12-19 03:07:43,86,web
155,5,2606,2025-11-05 13:21:40,62,desktop
156,5,2256,2024-06-18 23:49:27,259,mobile
157,5,1279,2023-09-11 13:10:15,130,tablet
158,5,172,2023-08-25 17:37:21,199,tablet
159,5,1384,2024-03-27 01:10:22,240,smart_speaker
160,5,2473,2025-12-23 23:14:05,144,smart_speaker
161,5,1843,2024-12-12 17:11:43,196,mobile
162,5,1201,2023-06-11 23:08:18,83,smart_tv
163,5,1953,2025-05-16 16:40:31,167,mobile
164,5,1474,2025-06-25 20:56:41,137,web
165,5,1170,2024-09-12 23:02:54,360,smart_tv
166,5,954,2025-03-30 15:58:22,130,tablet
167,5,1557,2025-08-03 14:48:24,32,tablet
168,5,1141,2025-03-10 20:50:09,201,tablet
169,5,1767,2025-02-14 21:15:26,88,desktop
170,5,768,2023-10-05 00:05:42,189,mobile
171,5,668,2024-03-16 06:47:35,199,tablet
172,5,2190,2024-12-23 17:35:19,383,smart_tv
173,5,119,2023-01-17 09:58:58,198,smart_tv
174,5,663,2024-01-07 12:13:47,203,smart_speaker
175,5,1073,2024-04-30 21:29:51,328,smart_speaker
176,5,1143,2023-09-06 00:33:04,137,tablet
177,5,131,2025-01-28 09:01:52,241,mobile
178,5,2606,2025-05-12 09:48:41,182,tablet
179,5,846,2023-04-02 21:31:44,73,desktop
180,5,194,2023-12-17 03:06:29,250,desktop
181,5,2359,2025-03-05 19:46:38,44,web
182,5,481,2024-01-10 21:12:22,288,smart_tv
183,5,374,2024-08-06 23:21:30,103,smart_speaker
184,5,917,2024-01-20 20:49:51,121,smart_tv
185,5,2252,2025-08-28 05:04:22,57,tablet
