subscription_id,user_id,plan_type,start_date,end_date,price,is_active,payment_method
1,1,duo,8/30/2024,,14.99,TRUE,debit_card
2,2,free,1/28/2020,,0,TRUE,
3,3,family,1/14/2024,7/31/2025,16.99,FALSE,debit_card
4,3,family,7/28/2020,6/17/2024,16.99,FALSE,credit_card
5,3,free,11/18/2024,,0,TRUE,
6,4,duo,1/30/2024,10/16/2024,14.99,FALSE,apple_pay
7,4,premium,5/16/2021,4/17/2024,9.99,FALSE,credit_card
8,4,student,2/9/2022,,5.99,TRUE,paypal
9,5,family,3/10/2022,8/16/2024,16.99,FALSE,apple_pay
10,5,premium,1/1/2020,,9.99,TRUE,credit_card
11,6,family,8/7/2024,11/26/2025,16.99,FALSE,debit_card
12,6,premium,10/16/2021,8/17/2025,9.99,FALSE,credit_card
13,6,free,12/14/2021,,0,TRUE,
14,7,family,1/27/2020,,16.99,TRUE,apple_pay
15,8,family,9/10/2024,,16.99,TRUE,paypal
16,9,duo,8/8/2021,4/3/2024,14.99,FALSE,paypal
17,9,student,1/30/2024,,5.99,TRUE,apple_pay
18,10,family,6/21/2023,5/29/2024,16.99,FALSE,google_pay
19,10,premium,1/18/2024,11/26/2025,9.99,FALSE,google_pay
20,10,student,7/20/2024,,5.99,TRUE,debit_card
21,11,student,11/17/2024,,5.99,TRUE,apple_pay
22,12,free,9/6/2023,,0,TRUE,
23,13,student,8/3/2024,,5.99,TRUE,paypal
24,14,student,3/18/2024,,5.99,TRUE,paypal
25,15,student,9/26/2021,1/14/2024,5.99,FALSE,apple_pay
26,15,premium,5/13/2021,1/27/2025,9.99,FALSE,paypal
27,15,family,11/7/2022,,16.99,TRUE,apple_pay
28,16,free,6/21/2020,,0,TRUE,
29,17,duo,8/13/2024,,14.99,TRUE,apple_pay
30,18,student,5/12/2023,,5.99,TRUE,debit_card
31,19,premium,7/28/2021,,9.99,TRUE,google_pay
32,20,premium,4/9/2021,,9.99,TRUE,paypal
33,21,student,5/15/2023,,5.99,TRUE,debit_card
34,22,family,6/20/2020,,16.99,TRUE,paypal
35,23,duo,2/26/2021,,14.99,TRUE,apple_pay
36,24,family,6/28/2022,,16.99,TRUE,apple_pay
37,25,free,10/20/2022,,0,TRUE,
38,26,premium,12/3/2023,9/10/2024,9.99,FALSE,apple_pay
39,26,free,8/25/2020,,0,TRUE,
40,27,student,1/6/2023,,5.99,TRUE,apple_pay
41,28,free,1/23/2022,,0,TRUE,
42,29,family,3/15/2020,,16.99,TRUE,debit_card
43,30,duo,9/15/2024,,14.99,TRUE,credit_card
44,31,family,9/25/2021,,16.99,TRUE,google_pay
45,32,duo,7/9/2023,10/14/2025,14.99,FALSE,credit_card
46,32,student,8/11/2020,,5.99,TRUE,google_pay
47,33,student,9/9/2021,7/21/2025,5.99,FALSE,apple_pay
48,33,student,1/13/2020,,5.99,TRUE,google_pay
49,34,family,10/18/2024,,16.99,TRUE,apple_pay
50,35,family,5/28/2022,1/27/2024,16.99,FALSE,debit_card
51,35,student,7/26/2024,11/30/2024,5.99,FALSE,debit_card
52,35,family,9/23/2020,,16.99,TRUE,google_pay
53,36,student,12/31/2020,5/27/2024,5.99,FALSE,apple_pay
54,36,free,6/27/2023,,0,TRUE,
55,37,premium,6/27/2020,4/12/2025,9.99,FALSE,debit_card
56,37,student,3/4/2022,12/10/2024,5.99,FALSE,apple_pay
57,37,student,7/25/2022,,5.99,TRUE,debit_card
58,38,free,2/12/2022,11/27/2025,0,FALSE,
59,38,free,9/27/2022,6/11/2024,0,FALSE,
60,38,student,10/25/2023,,5.99,TRUE,apple_pay
61,39,premium,4/26/2022,1/17/2025,9.99,FALSE,apple_pay
62,39,student,6/2/2020,,5.99,TRUE,paypal
63,40,student,4/22/2022,,5.99,TRUE,paypal
64,41,student,7/11/2023,,5.99,TRUE,credit_card
65,42,free,11/16/2020,,0,TRUE,
66,43,free,12/31/2023,,0,TRUE,
67,44,premium,8/1/2024,,9.99,TRUE,debit_card
68,45,duo,12/15/2023,,14.99,TRUE,paypal
69,46,family,1/28/2024,4/4/2025,16.99,FALSE,debit_card
70,46,family,11/12/2023,,16.99,TRUE,paypal
71,47,free,7/21/2022,,0,TRUE,
72,48,duo,1/10/2024,,14.99,TRUE,debit_card
73,49,family,6/26/2024,,16.99,TRUE,google_pay
74,50,free,3/30/2023,,0,TRUE,
75,51,family,8/14/2023,,16.99,TRUE,apple_pay
76,52,free,2/24/2023,,0,TRUE,
77,53,duo,7/30/2023,,14.99,TRUE,credit_card
78,54,free,3/28/2021,,0,TRUE,
79,55,free,12/19/2021,,0,TRUE,
80,56,student,9/16/2022,,5.99,TRUE,credit_card
81,57,premium,8/18/2023,,9.99,TRUE,credit_card
82,58,family,6/26/2020,,16.99,TRUE,google_pay
83,59,duo,10/18/2023,,14.99,TRUE,apple_pay
84,60,duo,4/4/2022,,14.99,TRUE,debit_card
85,61,duo,1/26/2023,,14.99,TRUE,google_pay
86,62,duo,6/26/2020,,14.99,TRUE,credit_card
87,63,premium,1/28/2020,,9.99,TRUE,google_pay
88,64,duo,6/21/2022,1/2/2025,14.99,FALSE,google_pay
89,64,student,3/12/2021,,5.99,TRUE,google_pay
90,65,free,6/13/2021,,0,TRUE,
91,66,family,4/25/2024,,16.99,TRUE,paypal
92,67,student,6/1/2020,,5.99,TRUE,apple_pay
93,68,free,2/16/2021,,0,TRUE,
94,69,student,2/15/2021,12/1/2024,5.99,FALSE,paypal
95,69,duo,12/16/2021,,14.99,TRUE,debit_card
96,70,student,6/29/2020,,5.99,TRUE,credit_card
97,71,duo,5/29/2024,,14.99,TRUE,credit_card
98,72,free,10/6/2021,,0,TRUE,
99,73,student,6/20/2021,11/27/2025,5.99,FALSE,google_pay
100,73,duo,12/23/2023,,14.99,TRUE,apple_pay
101,74,family,5/20/2024,,16.99,TRUE,credit_card
102,75,duo,5/14/2021,,14.99,TRUE,google_pay
103,76,premium,1/7/2023,,9.99,TRUE,google_pay
104,77,premium,7/27/2022,,9.99,TRUE,google_pay
105,78,family,10/2/2023,,16.99,TRUE,paypal
106,79,family,11/6/2023,10/2/2024,16.99,FALSE,paypal
107,79,duo,3/13/2024,,14.99,TRUE,google_pay
108,80,student,7/21/2024,,5.99,TRUE,debit_card
109,81,free,4/26/2023,,0,TRUE,
110,82,family,9/27/2020,2/9/2025,16.99,FALSE,credit_card
111,82,family,12/4/2023,,16.99,TRUE,paypal
112,83,student,8/3/2023,6/14/2025,5.99,FALSE,debit_card
113,83,family,1/23/2022,,16.99,TRUE,apple_pay
114,84,student,3/14/2021,,5.99,TRUE,credit_card
115,85,premium,11/24/2022,,9.99,TRUE,credit_card
116,86,student,6/18/2023,,5.99,TRUE,google_pay
117,87,free,8/1/2022,,0,TRUE,
118,88,premium,11/21/2024,,9.99,TRUE,google_pay
119,89,student,2/2/2023,10/6/2025,5.99,FALSE,debit_card
120,89,student,3/15/2023,,5.99,TRUE,paypal
121,90,free,6/12/2024,,0,TRUE,
122,91,free,9/19/2024,,0,TRUE,
123,92,family,2/22/2021,5/2/2024,16.99,FALSE,apple_pay
124,92,premium,6/2/2023,,9.99,TRUE,debit_card
125,93,family,4/9/2022,,16.99,TRUE,debit_card
126,94,premium,6/20/2021,,9.99,TRUE,debit_card
127,95,student,6/30/2020,,5.99,TRUE,debit_card
128,96,family,9/25/2022,,16.99,TRUE,paypal
129,97,free,3/24/2021,,0,TRUE,
130,98,student,1/6/2020,,5.99,TRUE,apple_pay
131,99,duo,6/6/2023,,14.99,TRUE,apple_pay
132,100,duo,7/8/2022,2/4/2024,14.99,FALSE,debit_card
133,100,family,1/27/2022,,16.99,TRUE,apple_pay
134,101,family,12/8/2024,,16.99,TRUE,debit_card
135,102,free,8/21/2022,2/11/2025,0,FALSE,
136,102,duo,12/8/2023,,14.99,TRUE,credit_card
137,103,free,4/17/2024,,0,TRUE,
138,104,duo,2/28/2022,2/11/2024,14.99,FALSE,google_pay
139,104,duo,6/12/2022,4/21/2025,14.99,FALSE,paypal
140,104,family,4/11/2021,,16.99,TRUE,paypal
141,105,duo,4/22/2024,8/19/2024,14.99,FALSE,paypal
142,105,family,9/3/2023,5/19/2025,16.99,FALSE,credit_card
143,105,student,12/6/2023,,5.99,TRUE,credit_card
144,106,family,12/4/2024,10/27/2025,16.99,FALSE,apple_pay
145,106,premium,5/18/2021,2/2/2025,9.99,FALSE,credit_card
146,106,student,10/22/2023,,5.99,TRUE,credit_card
147,107,free,9/24/2024,,0,TRUE,
148,108,premium,3/12/2021,,9.99,TRUE,credit_card
149,109,free,4/11/2021,,0,TRUE,
150,110,student,11/22/2020,3/13/2025,5.99,FALSE,google_pay
151,110,family,6/22/2022,,16.99,TRUE,debit_card
152,111,free,1/16/2023,3/29/2024,0,FALSE,
153,111,student,5/2/2023,2/13/2024,5.99,FALSE,debit_card
154,111,family,2/28/2020,,16.99,TRUE,debit_card
155,112,family,9/19/2020,2/14/2024,16.99,FALSE,apple_pay
156,112,premium,11/5/2022,,9.99,TRUE,google_pay
157,113,duo,3/7/2024,,14.99,TRUE,credit_card
158,114,family,2/9/2023,,16.99,TRUE,paypal
159,115,free,7/11/2023,3/19/2024,0,FALSE,
160,115,student,12/12/2022,,5.99,TRUE,google_pay
161,116,duo,11/23/2020,3/15/2024,14.99,FALSE,credit_card
162,116,family,6/5/2024,,16.99,TRUE,debit_card
163,117,student,2/1/2023,,5.99,TRUE,paypal
164,118,premium,2/1/2021,,9.99,TRUE,paypal
165,119,student,5/27/2022,,5.99,TRUE,apple_pay
166,120,duo,3/1/2021,,14.99,TRUE,credit_card
167,121,student,3/3/2021,4/28/2025,5.99,FALSE,credit_card
168,121,premium,10/31/2022,4/8/2025,9.99,FALSE,apple_pay
169,121,family,10/1/2024,,16.99,TRUE,apple_pay
170,122,family,4/20/2021,6/3/2025,16.99,FALSE,paypal
171,122,free,12/10/2022,,0,TRUE,
172,123,premium,1/31/2022,,9.99,TRUE,apple_pay
173,124,family,2/14/2024,,16.99,TRUE,paypal
174,125,family,12/1/2020,7/25/2025,16.99,FALSE,debit_card
175,125,family,7/21/2023,,16.99,TRUE,google_pay
176,126,student,7/11/2023,,5.99,TRUE,paypal
177,127,free,4/5/2023,,0,TRUE,
178,128,duo,4/1/2020,,14.99,TRUE,paypal
